split,h,model,scope,pinball_0.1,pinball_0.5,pinball_0.9,mae_p50,dir_hit
test,30,rw,Capesize,0.08320367438961,0.14905439847771226,0.08919050742283866,0.2981087969554245,0.4888888888888889
test,30,rw,Handysize,0.031693579332834586,0.06748669212926474,0.021099443518483193,0.13497338425852948,0.29896907216494845
test,30,rw,POOLED,0.05052060520932515,0.0936000004171562,0.04418328539587297,0.1872000008343124,0.3626373626373626
test,30,rw,Panamax,0.0416645718489079,0.07546255537261835,0.02893694285489555,0.1509251107452367,0.3146067415730337
test,30,rw,Supramax,0.03689227002098772,0.0704113436641514,0.026884833030746427,0.1408226873283028,0.31868131868131866
test,30,xgb,Capesize,0.05524451324294639,0.14363011683960736,0.06376096105095724,0.2872602336792147,0.49444444444444446
test,30,xgb,Handysize,0.025807978625719024,0.061915520208517844,0.019098040308726267,0.12383104041703569,0.7835051546391752
test,30,xgb,POOLED,0.036292724007829555,0.08769356683501392,0.03538017066230984,0.17538713367002784,0.6185243328100472
test,30,xgb,Panamax,0.03247051399294901,0.07484929423121284,0.027653710395023304,0.14969858846242567,0.550561797752809
test,30,xgb,Supramax,0.026875425229765954,0.05867253411754082,0.0235457437497718,0.11734506823508165,0.7197802197802198
test,90,ar1,Capesize,0.1401916316240063,0.23196968995730569,0.04888055164397287,0.46393937991461137,0.4222222222222222
test,90,ar1,Handysize,0.03842594386267586,0.038960895871342806,0.03411457469540972,0.07792179174268561,0.8969072164948454
test,90,ar1,POOLED,0.0808221633530129,0.13908001144901114,0.03362327701313713,0.2781600228980223,0.5368916797488226
test,90,ar1,Panamax,0.07113672053002804,0.13255468625436453,0.02529902564477029,0.26510937250872907,0.38764044943820225
test,90,ar1,Supramax,0.05417347007979961,0.1069531980654283,0.026413120061699907,0.2139063961308566,0.6043956043956044
test,90,rw,Capesize,0.1283135460224907,0.1517325228925614,0.09002638985377405,0.3034650457851228,0.34444444444444444
test,90,rw,Handysize,0.050149020017606925,0.07170777281056538,0.024123649992891023,0.14341554562113076,0.10309278350515463
test,90,rw,POOLED,0.07728951860168748,0.11552343757936759,0.04974233298744652,0.23104687515873518,0.2621664050235479
