"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2014","892.00","892.00","892.00","892.00","","0.11%"
"10/30/2014","891.00","891.00","891.00","891.00","","-0.56%"
"10/29/2014","896.00","896.00","896.00","896.00","","-0.22%"
"10/28/2014","898.00","898.00","898.00","898.00","","-0.11%"
"10/27/2014","899.00","899.00","899.00","899.00","","-0.11%"
"10/24/2014","900.00","900.00","900.00","900.00","","-0.66%"
"10/23/2014","906.00","906.00","906.00","906.00","","-0.11%"
"10/22/2014","907.00","907.00","907.00","907.00","","-0.44%"
"10/21/2014","911.00","911.00","911.00","911.00","","-0.55%"
"10/20/2014","916.00","916.00","916.00","916.00","","-0.76%"
"10/17/2014","923.00","923.00","923.00","923.00","","-1.07%"
"10/16/2014","933.00","933.00","933.00","933.00","","-1.17%"
"10/15/2014","944.00","944.00","944.00","944.00","","-0.84%"
"10/14/2014","952.00","952.00","952.00","952.00","","-0.73%"
"10/13/2014","959.00","959.00","959.00","959.00","","-1.13%"
"10/10/2014","970.00","970.00","970.00","970.00","","-1.02%"
"10/09/2014","980.00","980.00","980.00","980.00","","-1.31%"
"10/08/2014","993.00","993.00","993.00","993.00","","-1.39%"
"10/07/2014","1,007.00","1,007.00","1,007.00","1,007.00","","-0.98%"
"10/06/2014","1,017.00","1,017.00","1,017.00","1,017.00","","-1.07%"
"10/03/2014","1,028.00","1,028.00","1,028.00","1,028.00","","-0.48%"
"10/02/2014","1,033.00","1,033.00","1,033.00","1,033.00","","-1.15%"
"10/01/2014","1,045.00","1,045.00","1,045.00","1,045.00","","-0.57%"
"09/30/2014","1,051.00","1,051.00","1,051.00","1,051.00","","-0.28%"
"09/29/2014","1,054.00","1,054.00","1,054.00","1,054.00","","0.09%"
"09/26/2014","1,053.00","1,053.00","1,053.00","1,053.00","","0.67%"
"09/25/2014","1,046.00","1,046.00","1,046.00","1,046.00","","0.10%"
"09/24/2014","1,045.00","1,045.00","1,045.00","1,045.00","","0.38%"
"09/23/2014","1,041.00","1,041.00","1,041.00","1,041.00","","0.87%"
"09/22/2014","1,032.00","1,032.00","1,032.00","1,032.00","","0.29%"
"09/19/2014","1,029.00","1,029.00","1,029.00","1,029.00","","-0.10%"
"09/18/2014","1,030.00","1,030.00","1,030.00","1,030.00","","-0.10%"
"09/17/2014","1,031.00","1,031.00","1,031.00","1,031.00","","0.29%"
"09/16/2014","1,028.00","1,028.00","1,028.00","1,028.00","","1.18%"
"09/15/2014","1,016.00","1,016.00","1,016.00","1,016.00","","0.99%"
"09/12/2014","1,006.00","1,006.00","1,006.00","1,006.00","","0.60%"
"09/11/2014","1,000.00","1,000.00","1,000.00","1,000.00","","-0.30%"
"09/10/2014","1,003.00","1,003.00","1,003.00","1,003.00","","0.20%"
"09/09/2014","1,001.00","1,001.00","1,001.00","1,001.00","","0.60%"
"09/08/2014","995.00","995.00","995.00","995.00","","-0.20%"
"09/05/2014","997.00","997.00","997.00","997.00","","0.40%"
"09/04/2014","993.00","993.00","993.00","993.00","","0.51%"
"09/03/2014","988.00","988.00","988.00","988.00","","0.51%"
"09/02/2014","983.00","983.00","983.00","983.00","","0.61%"
"09/01/2014","977.00","977.00","977.00","977.00","","0.72%"
"08/29/2014","970.00","970.00","970.00","970.00","","0.73%"
"08/28/2014","963.00","963.00","963.00","963.00","","1.16%"
"08/27/2014","952.00","952.00","952.00","952.00","","0.85%"
"08/26/2014","944.00","944.00","944.00","944.00","","0.75%"
"08/22/2014","937.00","937.00","937.00","937.00","","1.30%"
"08/21/2014","925.00","925.00","925.00","925.00","","1.43%"
